,label
0,entailment
1,contradiction
2,neutral
3,entailment
4,neutral
5,contradiction
6,contradiction
7,contradiction
8,entailment
9,entailment
10,entailment
11,entailment
12,entailment
13,contradiction
14,neutral
15,entailment
16,contradiction
17,entailment
18,neutral
19,entailment
20,contradiction
21,entailment
22,contradiction
23,neutral
24,neutral
25,neutral
26,neutral
27,contradiction
28,contradiction
29,contradiction
30,neutral
31,entailment
32,contradiction
33,entailment
34,entailment
35,entailment
36,entailment
37,entailment
38,contradiction
39,neutral
40,neutral
41,neutral
42,contradiction
43,neutral
44,neutral
45,entailment
46,neutral
47,entailment
48,neutral
49,neutral
50,neutral
51,entailment
52,entailment
53,neutral
54,contradiction
55,neutral
56,contradiction
57,entailment
58,entailment
59,entailment
60,neutral
61,entailment
62,contradiction
63,neutral
64,contradiction
65,entailment
66,contradiction
67,neutral
68,entailment
69,contradiction
70,neutral
71,entailment
72,entailment
73,neutral
74,neutral
75,neutral
76,contradiction
77,contradiction
78,contradiction
79,contradiction
80,entailment
81,contradiction
82,neutral
83,neutral
84,entailment
85,contradiction
86,entailment
87,contradiction
88,neutral
89,neutral
90,entailment
91,contradiction
92,entailment
93,entailment
94,contradiction
95,neutral
96,neutral
97,contradiction
98,entailment
99,entailment
100,neutral
101,contradiction
102,neutral
103,contradiction
104,entailment
105,contradiction
106,contradiction
107,entailment
108,neutral
109,neutral
110,contradiction
111,entailment
112,contradiction
113,contradiction
114,entailment
115,contradiction
116,contradiction
117,entailment
118,contradiction
119,neutral
120,entailment
121,neutral
122,neutral
123,neutral
124,contradiction
125,contradiction
126,neutral
127,neutral
128,entailment
129,entailment
130,entailment
131,entailment
132,entailment
133,entailment
134,entailment
135,neutral
136,contradiction
137,entailment
138,neutral
139,neutral
140,entailment
141,contradiction
142,contradiction
143,entailment
144,contradiction
145,neutral
146,neutral
147,contradiction
148,contradiction
149,neutral
150,neutral
151,contradiction
152,contradiction
153,contradiction
154,neutral
155,contradiction
156,contradiction
157,neutral
158,contradiction
159,entailment
160,contradiction
161,contradiction
162,contradiction
163,neutral
164,contradiction
165,contradiction
166,entailment
167,entailment
168,entailment
169,neutral
170,contradiction
171,entailment
172,contradiction
173,contradiction
174,neutral
175,contradiction
176,neutral
177,contradiction
178,entailment
179,contradiction
180,neutral
181,entailment
182,entailment
183,neutral
184,contradiction
185,contradiction
186,neutral
187,neutral
188,contradiction
189,contradiction
190,entailment
191,contradiction
192,contradiction
193,contradiction
