1,The white dog is being squirted in the face with a jet of water.,The pet remains dry after being hit from behind with a pail of water.,contradiction
2,A soccer player is standing at the edge of a soccer field with a stadium full of spectators in the background.,A soccer player is on the field.,entailment
3,People picking up trash in the park.,People use grabbers to clean up trash in the park.,neutral
4,A man surfing in the ocean.,the man is seated,contradiction
5,A crowd is gathered behind the fence near a blue tent.,group of people meeting behind the fence,neutral
6,Two children in winter clothes playing on a slide.,Two boys play on the slide.,neutral
7,A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.,A girl is playing with her doll outside.,contradiction
8,a yellow lab drinks water.,A dog has been running a long way and needs a drink.,neutral
9,Two men and a white dog stand in a meadow near a steep hill.,Two men stand,entailment
10,An old bald man in the spotlight playing the guitar.,A old bald man feeding pigeons.,contradiction
11,A man in a suit and with a name tag and red tie stands in a dining area.,A man in a blue suit stands in dining area.,neutral
12,A dog running in the grass.,The dog is lying in the bedroom.,contradiction
13,A male in a green jacket points an imaginary shotgun at the sky.,A lifeform in a green jacket pointing an imaginary gun at the sky.,entailment
14,Several older people stand in front of a food booth.,People stand in front of a food booth for hot dogs.,neutral
15,A man with a bright orange shirt and crazy shades crosses the street.,The man has purple glasses.,neutral
16,"A male Equestrian rider leans forward as his horse stretches out for the 2nd jump of the course, as the crowd looks on with amazement",A man on top of a horse.,entailment
17,some young men playing basketball,Some young men are playing baseball.,contradiction
18,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady is using a cat to take pictures.,contradiction
19,"A black dog leaps from the bank into a body of water, with a field of dry grass in the background.",A cat is swimming in the tub.,contradiction
20,A boy dressed up as Winnie The Pooh playing with a kite.,The boy is taking a bath.,contradiction
21,A chef is preparing a dish in a large kitchen.,A man sleeps.,contradiction
22,A man holds up a bag containing leaves from a harvest.,A man having a bag of leaves,entailment
23,A shirtless soldier is shaving his face out in the street while his dog drinks some water.,"A man and a dog are shaving and drinking, respectively.",entailment
24,People in a meeting setting paying attention to a speaker in an orange shirt.,The people are listening to music on their CD players.,contradiction
25,A black dog running in shallow water on a beach.,A black dog is running on the beach.,entailment
26,A woman in a dress playing her acoustic guitar.,A woman is playing her guitar.,entailment
27,A woman in a blue shirt and blue jeans walking past a store.,A woman in jeans is walking fast.,neutral
28,Cheerleaders in blue uniforms perform in the end zone of a football field.,the cheerleaders perform in the football field,entailment
29,A shoe shiner waits for customers.,A shoe shiner waits.,entailment
30,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,Somebody is hanging up pictures while people watch.,entailment
31,A person wearing a yellow helmet attempts to climb a rock.,A person rock climbs.,entailment
32,A young boy with a blue umbrella waits outside a shop.,a young boy is prepared for inclement weather.,entailment
33,"A young boy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A kid holds a snowcone in one hand and a slurpee in the other.,contradiction
34,A man and a woman are competing in a race.,A man and woman are racing one another.,entailment
35,A teenage boy doing a skateboard trick while another boy rides on a skateboard in the background.,the boy is doing tricks on his bmx bike,contradiction
36,Someone in shorts is somersaulting in front of a crowd.,The person is male,neutral
37,A large brown and a small white dog play indoors on a carpet.,Two cats are jumping on the grass.,contradiction
38,"Plastic cup by his side, a portly bearded man wearing black shorts, black fedora, and plum-colored short-sleeved polo, rests on a portable folding chair on a grassy slope, reading a magazine and sporting earbuds.",A man is drinking a beverage.,neutral
39,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",A man is riding a bike and walking his dog.,entailment
40,A dog running in a field.,There is an animal outside.,entailment
41,A woman handing a white cup to a man with a newspaper box and a shopping cart between them.,a woman gives a cup to a guy.,entailment
42,Customers are waiting for service at a takeout window.,There are people swimming in the ocean,contradiction
43,A man is playing baseball.,The pitcher snares the line drive and completes the double play.,neutral
44,"Students sit in a classroom with green walls and red desks, waving at the camera.",There are students sitting in the classroom.,entailment
45,"Boy drinking, at backyard table full of bowls of food.",Boy eating at table,contradiction
46,Two people window shop for clothing.,Two people try on clothes in a store.,contradiction
47,A young girl in all pink clothing walking.,The girl is walking to school.,neutral
48,A shirtless man by a concrete wall holds a knife.,The man is about to attack,neutral
49,A man in traditional orthodox Jewish dress is seen alone from behind.,A Jewish man stands near friends.,contradiction
50,person in orange clothing lying on a wall,The person is wearing a pink rain coat while running through the forest.,contradiction
51,A competition match between two martial arts fighters.,The two martial arts fighters were women.,neutral
52,A man with chin-length light hair works on a sculpture.,The man working on the sculpture has chin-length hair.,entailment
53,There is a girl in all pink sleeping on the floor with her dolls.,Some little girls like to sleep with their dolls.,entailment
54,A shirtless man in blue holding up a large blue rod and looking at the camera.,the man wore a three piece suit,contradiction
55,People look on as a guy attends to a fixed gear bike under a tent.,It is raining so a guy is fixing a bike underneath the protection of a tent.,neutral
56,A young woman packs belongings into a black suitcase.,A young woman packs belongings into a black luggage carrier.,entailment
57,Several people are gathered and watching an event.,The people are looking at their pockets.,contradiction
58,A blond girl opens her mouth.,A man is eating a donut.,contradiction
59,A blond woman in a white dress sits in a flowering tree while holding a white bird.,the woman was outside,entailment
60,A young woman walking through a run down alley.,the woman is going to meet friends,neutral
61,A boy swimming in a body of water while smiling.,A boy is swimming in lake tahoe.,neutral
62,A white dog with a blue collar runs while carrying a yellow toy.,A dog is playing fetch with it's owner.,neutral
63,Someone riding sideways on a motorcycle.,The individual sat on a bench in the subway terminal.,contradiction
64,A player on the white and blue team kicks a soccer ball toward his teammate while players on the red team watch.,a bunch of people play soccer,entailment
65,Multiple people around a county fair with several attractions including a fortune telling machine called Grandmas prediction.,Many people are working hard in an overgrown field.,contradiction
66,Three people are in a body of water.,The water has people in it.,entailment
67,The brown dog is in the waving water.,A dog swims in the ocean.,neutral
68,a white dog running down a path with a long stick in his mouth,The dog is taking holding a fish in it's mouth.,contradiction
69,A group of African villagers are carrying an animal using their hands to tie it up.,The people are going to sacrifice the animal hoping for a good harvest,neutral
70,Two men talk at a crowded beach on a nice day.,Two men talk at the beach.,entailment
71,A man in a tan suit is using a pay phone to make a call.,Everyone is using a cell phone.,contradiction
72,Blond win sunglasses singing.,there is music,entailment
73,A man in white playing tennis is still in midair after jumping to hit the ball.,The man is wearing tennis shoes.,neutral
74,"Two people, with buildings behind them, are standing near a blue car with two doors open.",Two people are standing.,entailment
75,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,neutral
76,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is standing.,contradiction
77,A person on a jet ski is going over waves in an ocean.,A human on a ski,entailment
78,Men walking outside near a castle.,There are men walking.,entailment
79,"The white dog is standing on its hind legs, looking over a ledge.",A white dog is staring over a ledge at a cat.,neutral
80,A man wearing with long hair is sewing a costume.,A short haired man is building a shed,contradiction
81,A girl in a yellow shirt and green skirt leans on a car while a man in a suit and a girl in a dress converse.,the girl wore tshirt and a ball cap to the game,contradiction
82,A young woman wearing a pink tank top jumps on her skateboard.,The tank top is purple.,contradiction
83,A man in a red jacket is standing at the top of some steps at night.,The man is sitting on the steps.,contradiction
84,A lady painting on a public wall!,The woman was painting a portrait of herself.,neutral
85,A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor.,A young kid is playing on the floor.,entailment
86,A woman in a white and green striped hat is looking down.,A woman in hat is looking down at a cat.,neutral
87,A red shirted bike rider rounds a corner on a trail in the woods.,The biker is sitting on the bench in the rain.,contradiction
88,Three people wearing hats and all with orange tubs are working on brickwork on the ground.,"The men are construction workers, trying to fix the cracked sidewalk in the older section of town.",neutral
89,An old man wearing a black jacket is looking on the table,A man in a jacket is standing outside near a table.,neutral
90,A dog jumps to catch a toy in the snow.,An animal is jumping in a place that is not hot.,entailment
91,Bull rider on a wild kicking bull at the rodeo,a guy on an animal at an event,entailment
92,Some young adults are playing saxophones and clarinets outdoors.,A young adult band played outside.,neutral
93,A black-haired man talks to a woman.,A man is having a conversation with a woman in class,neutral
94,A man in medieval armor rides atop a horse.,The man is dressed as a fireman.,contradiction
95,people enjoying their meals at an expensive restaurant.,The people all order the same meal.,neutral
